edge_bucket_lr,polymarket_outcome_mean,polymarket_outcome_count,polymarket_outcome_std,lr_probability_mean,avgPrice_mean,edge_lr_mean,lr_correct_mean
<-20%,0.6528,72,0.4794,0.3008,0.7134,-0.4126,0.5556
-20to-15%,0.8889,18,0.3234,0.5451,0.7211,-0.176,0.7778
-15to-10%,0.8077,26,0.4019,0.619,0.7429,-0.1239,0.8846
-10to-5%,0.7895,19,0.4189,0.6254,0.7016,-0.0762,0.7368
-5to0%,0.6957,23,0.4705,0.6551,0.6759,-0.0208,0.8261
0to5%,0.8636,22,0.3513,0.7397,0.7137,0.0261,0.8182
5to10%,0.6111,18,0.5016,0.7001,0.6265,0.0736,0.6667
10to15%,0.9375,16,0.25,0.7816,0.6533,0.1282,0.8125
15to20%,0.625,8,0.5175,0.7983,0.6233,0.175,0.625
>20%,0.5769,26,0.5038,0.8409,0.5117,0.3292,0.5769
